original_name,country_code,mapped_name,mapped_bvdId,mapping_score,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,Status,Date of incorporation,Operating revenue (Turnover) <th USD 2018>,Operating revenue (Turnover) <th USD 2017>,Operating revenue (Turnover) <th USD 2016>,Operating revenue (Turnover) <th USD 2015>,Operating revenue (Turnover) <th USD 2014>,Operating revenue (Turnover) <th USD 2013>,Operating revenue (Turnover) <th USD 2012>,Operating revenue (Turnover) <th USD 2011>,Operating revenue (Turnover) <th USD 2010>,Operating revenue (Turnover) <th USD 2009>,P/L for period [=Net income] <th USD 2018>,P/L for period [=Net income] <th USD 2017>,P/L for period [=Net income] <th USD 2016>,P/L for period [=Net income] <th USD 2015>,P/L for period [=Net income] <th USD 2014>,P/L for period [=Net income] <th USD 2013>,P/L for period [=Net income] <th USD 2012>,P/L for period [=Net income] <th USD 2011>,P/L for period [=Net income] <th USD 2010>,P/L for period [=Net income] <th USD 2009>,Total assets <th USD 2018>,Total assets <th USD 2017>,Total assets <th USD 2016>,Total assets <th USD 2015>,Total assets <th USD 2014>,Total assets <th USD 2013>,Total assets <th USD 2012>,Total assets <th USD 2011>,Total assets <th USD 2010>,Total assets <th USD 2009>,Shareholders funds <th USD 2018>,Shareholders funds <th USD 2017>,Shareholders funds <th USD 2016>,Shareholders funds <th USD 2015>,Shareholders funds <th USD 2014>,Shareholders funds <th USD 2013>,Shareholders funds <th USD 2012>,Shareholders funds <th USD 2011>,Shareholders funds <th USD 2010>,Shareholders funds <th USD 2009>,Number of employees <2018>,Number of employees <2017>,Number of employees <2016>,Number of employees <2015>,Number of employees <2014>,Number of employees <2013>,Number of employees <2012>,Number of employees <2011>,Number of employees <2010>,Number of employees <2009>,EBITDA <th USD 2018>,EBITDA <th USD 2017>,EBITDA <th USD 2016>,EBITDA <th USD 2015>,EBITDA <th USD 2014>,EBITDA <th USD 2013>,EBITDA <th USD 2012>,EBITDA <th USD 2011>,EBITDA <th USD 2010>,EBITDA <th USD 2009>
ComparaGuru,MX,COMPARA GURU MEXICO SA DE CV,MX*Z00050968,scoreA,COMPARA GURU MEXICO SA DE CV,MX*Z00050968,MX,6311,5182,Other services,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
MSwipe Technologies,IN,MSWIPE TECHNOLOGIES PRIVATE LIMITED,IN0007648939,scoreA,MSWIPE TECHNOLOGIES PRIVATE LIMITED,IN0007648939,IN,6311,5182,Other services,Active,22/03/2011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Retail Holding,MA,RETAIL HOLDING,MA62401-85,scoreA,RETAIL HOLDING,MA62401-85,MA,7911,5615,Other services,Active,24/01/2006,n.a.,n.a.,609,501,508,442,681,0,n.a.,n.a.,n.a.,n.a.,493,"5,051","-2,122","9,993",-385,125,n.a.,n.a.,n.a.,n.a.,"90,973","67,099","64,532","51,458","43,044","34,707",n.a.,n.a.,n.a.,n.a.,"59,889","35,476","33,329","39,329","28,352","21,260",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"-1,487",-745,-102,-541,95,-315,n.a.,n.a.
iCare Benefits Cambodia,KH,"ICARE BENEFITS (CAMBODIA) CO., LTD",KH*Z00272841,scoreA,"ICARE BENEFITS (CAMBODIA) CO., LTD",KH*Z00272841,KH, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Akulaku,ID,"AKULAKU SILVRR INDONESIA, PT",ID121475P,scoreE,"AKULAKU SILVRR INDONESIA, PT",ID121475P,ID,6209,5415,Other services,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Deliver,RU,DELIVER,RU23464156N,scoreA,DELIVER,RU23464156N,RU,5229,4889,Transport,Active,21/02/2013,n.a.,n.a.,63,55,48,98,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,85,75,77,8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25,22,23,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9,9,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Darwinbox Digital Solutions,IN,DARWINBOX DIGITAL SOLUTIONS PRIVATE LIMITED,IN0015384214,scoreA,DARWINBOX DIGITAL SOLUTIONS PRIVATE LIMITED,IN0015384214,IN,8299,5614,Other services,Active,20/11/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Boenhuier Information Technology (eDaili),CN,"HANGZHOU ZAILING LADDER INFORMATION TECHNOLOGY CO., LTD.",CN9387579204,scoreD,"HANGZHOU ZAILING LADDER INFORMATION TECHNOLOGY CO., LTD.",CN9387579204,CN, , , ,Active,29/12/2016,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
UrbanClap Technologies,IN,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,IN0013934176,scoreB,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,IN0013934176,IN,7021,5416,Other services,Active,22/12/2014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Aisance,TH,AISANCE COMPANY LIMITED,TH0105554149897,scoreA,AISANCE COMPANY LIMITED,TH0105554149897,TH,2042,3256,"Chemicals, rubber, plastics, non-metallic products",Active,2011,n.a.,n.a.,"12,147","11,139","10,931","8,358",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,801",-463,645,631,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"11,233","7,983","6,996","6,993",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,005","2,077","1,576",935,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
